text,sql
"Получите список фамилий инженеров и устройств, разработанных ими","SELECT Инженеры.Фамилия, Устройства.Модель FROM Инженеры JOIN Устройства ON Инженеры.id = Устройства.Инженер_id;"
"Извлеките имена клиентов и заказы, сделанные ими","SELECT Клиенты.Имя, Заказы.Номер FROM Клиенты JOIN Заказы ON Клиенты.id = Заказы.Клиент_id;"
"Выберите учителей и классы, которые они преподают","SELECT Учителя.ФИО, Классы.НомерКласса FROM Учителя JOIN Классы ON Учителя.id = Классы.Учитель_id;"
"Пожалуйста, покажите врачей и болезни, которые они лечат","SELECT Врачи.Фамилия, Болезни.Название FROM Врачи JOIN Болезни ON Врачи.id = Болезни.Врач_id;"
"Приведите пары программистов и программы, созданные ими","SELECT Программисты.ФИО, Программы.Название FROM Программисты JOIN Программы ON Программисты.id = Программы.Программист_id;"
"Перечислите менеджеров и проекты, курируемые ими","SELECT Менеджеры.ФИО, Проекты.Название FROM Менеджеры JOIN Проекты ON Менеджеры.id = Проекты.Менеджер_id;"
"Посмотрите, кто является клиентами банка и какими услугами пользуется","SELECT БанковскиеКлиенты.ФИО, БанковскиеУслуги.Наименование FROM БанковскиеКлиенты JOIN БанковскиеУслуги ON БанковскиеКлиенты.id = БанковскиеУслуги.Клиент_id;"
"Представьте художников и картины, нарисованные ими","SELECT Художники.Имя, Картины.Название FROM Художники JOIN Картины ON Художники.id = Картины.Художник_id;"
"Найдите исполнителей и музыкальные альбомы, выпущенные ими","SELECT Исполнители.Имя, Альбомы.Название FROM Исполнители JOIN Альбомы ON Исполнители.id = Альбомы.Исполнитель_id;"
"Опишите футболистов и клубы, за которые они играют","SELECT Футболисты.Фамилия, Клубы.Название FROM Футболисты JOIN Клубы ON Футболисты.id = Клубы.Футболист_id;"
"Какие спортсмены участвуют в соревнованиях и каких результатов добились?","SELECT Спортсмены.Фамилия, Соревнования.Название, РезультатыСпортсменов.Результат FROM Спортсмены JOIN Соревнования JOIN РезультатыСпортсменов ON Спортсмены.id = РезультатыСпортсменов.Спортсмен_id AND Соревнования.id = РезультатыСпортсменов.Соревнование_id;"
"Назовите разработчиков и игры, созданные ими","SELECT Разработчики.Имя, Игры.Название FROM Разработчики JOIN Игры ON Разработчики.id = Игры.Разработчик_id;"
"Список городов и регионов, в которых находятся наши филиалы","SELECT Филиалы.Город, Регионы.Название FROM Филиалы JOIN Регионы ON Филиалы.регион_id = Регионы.id;"
"Выбрать название продуктов и производителей","SELECT Продукты.Название, Производители.Бренд FROM Продукты JOIN Производители ON Продукты.производитель_id = Производители.id;"
"Кто написал учебники и какое издательство выпустило их?","SELECT Учебники.Название, Издательства.НазваниеИздательства FROM Учебники JOIN Издательства ON Учебники.издательство_id = Издательства.id;"
"Имена участников конференции и научные доклады, представленные ими","SELECT УчастникиКонференций.ФИО, Доклады.Тема FROM УчастникиКонференций JOIN Доклады ON УчастникиКонференций.id = Доклады.Участник_id;"
"Все сотрудники ИТ-отдела и занимаемые должности","SELECT Сотрудники.ФИО, Должности.НазваниеДолжности FROM Сотрудники JOIN Должности ON Сотрудники.должность_id = Должности.id WHERE Отдел='ИТ';"
"Адреса офисов и города, в которых они расположены","SELECT Офисы.Адрес, Города.НазваниеГорода FROM Офисы JOIN Города ON Офисы.город_id = Города.id;"
"Списки преподавателей и предметы, которые они ведут","SELECT Преподаватели.ФИО, Предметы.НазваниеПредмета FROM Преподаватели JOIN Предметы ON Преподаватели.Предмет_id = Предметы.id;"
"Полное имя сотрудника и номер телефона организации","SELECT Сотрудники.ФИО, Телефоны.ОргТелефон FROM Сотрудники JOIN Телефоны ON Сотрудники.id = Телефоны.сотрудник_id;"
"Фамилии докторов и клиники, в которых они работают","SELECT Доктор.Фамилия, Клиника.НазваниеКлиники FROM Доктор JOIN Клиника ON Доктор.клиника_id = Клиника.id;"
"По каким дисциплинам проходят экзамены у студентов?","SELECT Дисциплины.Название, Экзамены.ДатаЭкзамена FROM Дисциплины JOIN Экзамены ON Дисциплины.id = Экзамены.Дисциплина_id;"
"Какой продукт закупается чаще всего клиентами?","SELECT Товары.Название, SUM(Закупки.Количество) AS ВсегоКуплено FROM Товары JOIN Закупки ON Товары.id = Закупки.Товар_id GROUP BY Товары.Название ORDER BY ВсегоКуплено DESC LIMIT 1;"
"Узнать, какой товар заказал клиент","SELECT Заказчики.ФИО, Товар.Название FROM Заказчики JOIN Товар ON Заказчики.id = Товар.Заказчик_id;"
"Найти номера телефонов всех клиентов банка","SELECT БанковскиеКлиенты.ФИО, Контакты.Телефон FROM БанковскиеКлиенты JOIN Контакты ON БанковскиеКлиенты.id = Контакты.Клиент_id;"
"Каких специалистов ищут рекрутеры?","SELECT Рекрутёры.ФИО, Специалисты.Профессия FROM Рекрутёры JOIN Специалисты ON Рекрутёры.id = Специалисты.Рекрутёр_id;"
"Показать список спортсменов и спортивные достижения каждого","SELECT Спортсмены.Фамилия, Достижения.НазваниеНаграды FROM Спортсмены JOIN Достижения ON Спортсмены.id = Достижения.Спортсмен_id;"
"Кто исполняет музыку и какой жанр музыки представляет?","SELECT МузыкальныеИсполнители.Имя, ЖанрыМузыкальнойКомпозиции.Жанр FROM МузыкальныеИсполнители JOIN ЖанрыМузыкальнойКомпозиции ON МузыкальныеИсполнители.id = ЖанрыМузыкальнойКомпозиции.Исполнитель_id;"
"Номера счетов клиентов и суммы на каждом счете","SELECT БанковскиеКлиенты.ФИО, БанковскиеСчета.НомерСчета, БалансСумма FROM БанковскиеКлиенты JOIN БанковскиеСчета ON БанковскиеКлиенты.id = БанковскиеСчета.Клиент_id;"
"Какие лекарства прописаны пациентам врачом?","SELECT Лекарства.Название, Пациенты.ФИО FROM Лекарства JOIN Пациенты ON Лекарства.Пациент_id = Пациенты.id;"
"Название магазинов и адреса, где они располагаются","SELECT Магазины.НазваниеМагазина, АреалМестоположения.Адрес FROM Магазины JOIN АреалМестоположения ON Магазины.адрес_id = АреалМестоположения.id;"
"Автор статей и тематика каждой публикации","SELECT АвторыСтатей.ИмяФамилия, Статьи.Тематика FROM АвторыСтатей JOIN Статьи ON АвторыСтатей.id = Статьи.Автор_id;"
"Список всех сотрудников","SELECT * FROM Сотрудники;"
"Показать всех профессоров","SELECT * FROM Сотрудники WHERE должность LIKE '%Профессор%';"
"Сколько студентов учится в университете?","SELECT COUNT(*) FROM Студенты;"
"Имя самого молодого студента","SELECT MIN(Возраст), ФИО FROM Студенты;"
"Какой автомобиль самый дорогой?","SELECT MAX(Цена), Марка FROM Автомобили;"
"Среднее значение зарплат сотрудников","SELECT AVG(Зарплата) FROM Сотрудники;"
"Все книги автора Иванов","SELECT * FROM Книги WHERE автор = 'Иванов';"
"Список фильмов режиссера Тарковский","SELECT * FROM Фильмы WHERE режиссер = 'Тарковский';"
"Есть ли среди товаров ноутбук Apple MacBook Pro?","SELECT EXISTS(SELECT * FROM Товары WHERE наименование = 'Apple MacBook Pro');"
"Всех студентов первого курса","SELECT * FROM Студенты WHERE Курс=1;"
"Количество заказов клиента Петров","SELECT COUNT(*) FROM Заказы WHERE заказчик = 'Петров';"
"Средний балл экзаменационных оценок студентов группы БИС-171","SELECT AVG(Оценка) FROM Оценки WHERE группа = 'БИС-171';"
"Студентов, сдавших экзамен на отлично","SELECT * FROM Студенты WHERE оценка >= 5;"
"Возраст наиболее пожилого сотрудника","SELECT MAX(Возраст) FROM Сотрудники;"
"Телефонные номера сотрудников","SELECT Телефон FROM Сотрудники;"
"Адреса всех филиалов нашей компании","SELECT Адрес FROM Филиалы;"
"Наиболее часто используемый тип транспорта сотрудниками","SELECT ТипТранспортa, COUNT(*) FROM Транспорт GROUP BY ТипТранспортa ORDER BY COUNT(*) DESC LIMIT 1;"
"Количестве выпускаемых автомобилей марки BMW ежегодно","SELECT Год, COUNT(*) FROM АвтоПроизводство WHERE марка = 'BMW' GROUP BY Год;"
"Дата последнего обновления базы данных","SELECT MAX(ДатаОбновления) FROM Обновления;"
"Названия книг, начинающихся на букву 'А'","SELECT * FROM Книги WHERE название LIKE 'A%';"
"Показать список всех отделов","SELECT * FROM Отделы;"
"Найти самую дорогую книгу","SELECT * FROM Книги WHERE Цена = (SELECT MAX(Цена) FROM Книги);"
"Подсчитать общее число заказов","SELECT COUNT(*) FROM Заказы;"
"Все клиенты с электронной почтой @mail.ru","SELECT * FROM Клиенты WHERE email LIKE '%@mail.ru';"
"Выборка продукции дороже определенной цены","SELECT * FROM Продукция WHERE цена > 1000;"
"Определить среднюю стоимость заказа","SELECT AVG(Стоимость) FROM Заказы;"
"Просмотреть товары категории 'Электроника'","SELECT * FROM Товары WHERE категория = 'Электроника';"
"Самые продаваемые продукты за последний месяц","SELECT TOP 10 * FROM Продажа WHERE дата > DATEADD(MONTH,-1,GETDATE()) ORDER BY КоличествоПродано DESC;"
"Самых молодых студентов","SELECT * FROM Студенты ORDER BY возраст ASC LIMIT 10;"
"Максимальную зарплату сотрудников","SELECT MAX(зарплата) FROM Сотрудники;"
"Количество книг определенного жанра","SELECT COUNT(*) FROM Книги WHERE жанр = 'Научная фантастика';"
"Сумма затрат на маркетинговые кампании","SELECT SUM(затраты) FROM Маркетинг;"
"Город проживания сотрудника Иванова","SELECT город FROM Сотрудники WHERE фамилия = 'Иванов';"
"Продукцию с названием 'Samsung Galaxy S21'","SELECT * FROM Продукция WHERE название = 'Samsung Galaxy S21';"
"Общий доход от продаж за квартал","SELECT SUM(доход) FROM Продажи WHERE квартал = 'Q1';"
"Минимальное количество товара на складе","SELECT MIN(количество) FROM Склад;"
"Последнюю запись журнала изменений","SELECT TOP 1 * FROM ЖурналИзменений ORDER BY дата DESC;"
"Средняя зарплата сотрудников IT-отделов","SELECT AVG(зарплата) FROM Сотрудники WHERE отдел = 'IT';"
"Поставщиков техники Lenovo","SELECT * FROM Поставщики WHERE бренд = 'Lenovo';"
"Сумму покупок каждого покупателя","SELECT покупатель, SUM(суммаПокупки) FROM Заказы GROUP BY покупатель;"
"Список автомобилей красного цвета","SELECT * FROM Автомобили WHERE цвет = 'Красный';"
"Все фильмы с рейтингом больше 8 баллов","SELECT * FROM Фильмы WHERE рейтинг > 8;"
"Посмотреть всех клиентов из Москвы","SELECT * FROM Клиенты WHERE город = 'Москва';"
"Общую сумму задолженности","SELECT SUM(задолженность) FROM Задолженности;"
"Студентов с отметкой ниже среднего балла","SELECT * FROM Студенты WHERE среднийБалл < 3.5;"
"Топ-5 популярных направлений туризма","SELECT TOP 5 направление, COUNT(*) FROM Туризм GROUP BY направление ORDER BY COUNT(*) DESC;"
"Даты начала всех мероприятий","SELECT датаНачала FROM Мероприятия;"
"Пользователей, зарегистрированных после января 2020 г.","SELECT * FROM Пользователи WHERE датаРегистрации > '2020-01-01';"
"Текущие акции компаний","SELECT * FROM Акции WHERE статус = 'Активна';"
"Стоимость самой дешёвой услуги","SELECT MIN(стоимость) FROM Услуги;"
"Количество операций покупки автомобиля за год","SELECT COUNT(*) FROM Автосалон WHERE годОперации = YEAR(NOW());"
"Среднюю оценку фильма по отзывам зрителей","SELECT AVG(оценка) FROM Отзывы WHERE фильм = 'Матрица';"
"Весь ассортимент продуктов категории 'Молочные изделия'","SELECT * FROM Продукт WHERE категория = 'Молочные изделия';"
"График посещаемости музея за последнюю неделю","SELECT датаПосещения, количествоПосетителей FROM Музей WHERE датаПосещения BETWEEN NOW() - INTERVAL 7 DAY AND NOW();"
"Подсчет средней зарплаты менеджера","SELECT AVG(зарплата) FROM Сотрудники WHERE должность = 'Менеджер';"
"Самый популярный продукт","SELECT TOP 1 наименование, SUM(количествоПродаж) FROM Продажи GROUP BY наименование ORDER BY SUM(количествоПродаж) DESC;"
"Общее количество студентов факультета Биологии","SELECT COUNT(*) FROM Студенты WHERE факультет = 'Биология';"
"Данные клиентов, проживающих вне России","SELECT * FROM Клиенты WHERE страна != 'Россия';"
"Общая сумма расходов на рекламу за январь-февраль","SELECT SUM(расходы) FROM РасходыРекламы WHERE месяц IN ('январь', 'февраль');"
"Все комментарии к статье №123","SELECT * FROM Комментарии WHERE статьяID = 123;"
"Сотрудники, работающие дольше пяти лет и имеющие звание профессора","SELECT * FROM Сотрудники WHERE стаж > 5 AND должность = 'профессор';"
"Количество сотрудников по каждому отделу","SELECT отдел, COUNT(*) FROM Сотрудники GROUP BY отдел;"
"Итоговая выручка магазина за прошлый год","SELECT SUM(Выручка) FROM Продажи WHERE год = EXTRACT(YEAR FROM CURRENT_DATE)-1;"
"Лучший сотрудник месяца по количеству закрытых сделок","SELECT Сотрудник, COUNT(*) AS КоличествоСделок FROM Сделки GROUP BY Сотрудник ORDER BY КоличествоСделок DESC LIMIT 1;"
"Сколько уникальных позиций было продано каждым менеджером?","SELECT менеджер, COUNT(DISTINCT позиция) FROM Продажи GROUP BY менеджер;"
"Книга с наибольшим количеством страниц","SELECT * FROM Книги WHERE страницы = (SELECT MAX(страницы) FROM Книги);"
"Показать средние оценки студентов в группе, отсортированные по убыванию","SELECT студент, AVG(оценка) AS средняяОценка FROM Оценки GROUP BY студент ORDER BY средняяОценка DESC;"
"Самая крупная сделка за последние три месяца","SELECT * FROM Сделки WHERE дата > ADD_MONTHS(CURRENT_DATE, -3) ORDER BY сумма DESC FETCH FIRST ROW ONLY;"
"Все покупатели, купившие продукцию на общую сумму свыше 10 тысяч рублей","SELECT * FROM Покупатели WHERE id IN (SELECT покупатель_id FROM Заказы GROUP BY покупатель_id HAVING SUM(сумма) > 10000);"
"Клиенты, не совершавшие покупок за последний год","SELECT * FROM Клиенты WHERE id NOT IN (SELECT клиент_id FROM Заказы WHERE date >= ADD_YEARS(CURRENT_DATE, -1));"
"Процент успешности рекламных кампаний (отношение конверсий к показам)","SELECT кампания, ROUND((SUM(конверсии)/SUM(показы))*100, 2) AS процентОтзывчивости FROM Кампании GROUP BY кампания;"
"Средний срок исполнения проекта по сотрудникам","SELECT сотрудник, AVG(DATEDIFF(day, начало, завершение)) AS среднееВремяВыполнения FROM Проект GROUP BY сотрудник;"
"Объем продаж по регионам в разбивке по кварталам","SELECT регион, квартал, SUM(объемПродаж) FROM Продажи GROUP BY регион, квартал;"
"Корректировка цен товаров на скидку 10%, если цена превышает 1000 руб.","UPDATE Товары SET цена = цена*0.9 WHERE цена > 1000;"
"Среднемесячная прибыль предприятия за прошедший год","SELECT TO_CHAR(date, 'MONTH') AS Месяц, AVG(Прибыль) FROM Прибыль WHERE EXTRACT(YEAR FROM date)=EXTRACT(YEAR FROM SYSDATE)-1 GROUP BY TO_CHAR(date, 'MONTH');"
"Менее активные менеджеры (менее трех сделок за последний месяц)","SELECT * FROM Менеджеры WHERE id NOT IN (SELECT manager_id FROM Sales WHERE sale_date >= ADD_MONTHS(SYSDATE, -1) GROUP BY manager_id HAVING COUNT(*)>=3);"
"Проверить наличие товара на нескольких складах одновременно","SELECT product_name, warehouse_name FROM Products INNER JOIN Warehouses USING(product_id) WHERE quantity>0;"
"Получить перечень категорий товаров, где суммарный объем продаж превысил заданный порог","SELECT category, SUM(sales_volume) FROM ProductSales GROUP BY category HAVING SUM(sales_volume)>100000;"
"Выделить регионы с максимальной прибылью в последнем квартале","SELECT region, profit FROM RegionProfit WHERE quarter=(SELECT MAX(quarter) FROM QuarterData) ORDER BY profit DESC LIMIT 1;"
"Совокупный оборот бизнеса за прошедшие полгода с разбивкой по категориям товаров","SELECT category, SUM(total_sales) FROM BusinessTurnover WHERE month BETWEEN ADD_MONTHS(SYSDATE, -6) AND SYSDATE GROUP BY category;"
"Максимальная сумма заказов за период","SELECT customer_id, MAX(order_total) FROM Orders WHERE order_date BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY customer_id;"
"Разница между максимальным и минимальным объемом закупок","SELECT MAX(purchase_amount) - MIN(purchase_amount) AS разницаОбъемов FROM Purchases;"
"Коэффициент возврата инвестиций (ROI) по проектам, группируя по годам реализации","SELECT year(project_completion_date), SUM(investment_return)/SUM(initial_investment)*100 AS ROI FROM Projects GROUP BY year(project_completion_date);"
"Процент отказов от услуг провайдера телекоммуникаций по городам","SELECT city, ROUND(SUM(rejected_services)/COUNT(*)*100, 2) AS отказПроцент FROM TelecomServices GROUP BY city;"
"Количество отзывов по каждому товару с указанием среднего рейтинга","SELECT product_id, COUNT(*) AS count_reviews, AVG(rating) AS avg_rating FROM Reviews GROUP BY product_id;"
"Эффективность рекламных каналов относительно привлеченных клиентов","SELECT channel, COUNT(customer_id) AS new_customers FROM MarketingChannels GROUP BY channel;"
"Конвертация денежных единиц в единую валюту с использованием текущего обменного курса","SELECT amount*exchange_rate AS converted_amount FROM Transactions JOIN ExchangeRates USING(currency_code);"
"Загрузка складских помещений в процентах относительно вместимости","SELECT warehouse_id, ROUND((current_stock/capacity)*100, 2) AS загрузкаСклада FROM WarehouseStorage;"
"Информация о сотрудниках, работающих над проектами с бюджетом более миллиона долларов","SELECT employees.name, projects.title FROM Employees JOIN Projects ON employees.project_id=projects.id WHERE budget>1000000;"
"Статистика посещаемости сайта по источникам трафика за прошлые шесть месяцев","SELECT traffic_source, COUNT(visit_id) AS visits_count FROM WebsiteVisits WHERE visit_date BETWEEN ADD_MONTHS(SYSDATE, -6) AND SYSDATE GROUP BY traffic_source;"
"Наибольшие расходы сотрудников компании по командировкам","SELECT employee_id, SUM(expense_amount) AS total_expenses FROM TravelExpenses GROUP BY employee_id ORDER BY total_expenses DESC LIMIT 1;"
"Продавцы, закрывшие максимальное количество сделок за первый квартал текущего года","SELECT seller_id, COUNT(deal_id) AS deals_closed FROM Deals WHERE deal_date BETWEEN TRUNC(SYSDATE,'YEAR') AND LAST_DAY(TRUNC(SYSDATE,'YEAR'))+INTERVAL '3' MONTH GROUP BY seller_id ORDER BY deals_closed DESC LIMIT 1;"
"Самые высокодоходные подразделения фирмы по итогам прошлого квартала","SELECT department, SUM(profit) AS total_profit FROM Departments WHERE period=LAST_QUARTER GROUP BY department ORDER BY total_profit DESC LIMIT 3;"
"Рассчитайте рентабельность активов по подразделениям компании","SELECT division, net_income/assets_value AS asset_return_ratio FROM Financials WHERE fiscal_year=CURRENT_YEAR;"
"Ранжирование сотрудников по производительности с выделением лучших за последний месяц","SELECT employee_id, productivity_score, RANK() OVER (ORDER BY productivity_score DESC) AS performance_rank FROM EmployeePerformance WHERE evaluation_period=LAST_MONTH;"
"Определение среднедневного дохода предприятий по видам деятельности за предыдущий год","SELECT activity_type, AVG(daily_revenue) FROM CompanyRevenue WHERE fiscal_year=PREVIOUS_YEAR GROUP BY activity_type;"
"Топ-10 самых активных читателей библиотеки по числу прочитанных книг за последние два года","SELECT reader_id, COUNT(book_id) AS books_read FROM LibraryRecords WHERE read_date BETWEEN ADD_YEARS(SYSDATE, -2) AND SYSDATE GROUP BY reader_id ORDER BY books_read DESC LIMIT 10;"
"Число новых подписок сервиса за предыдущие четыре квартала","SELECT subscription_plan, COUNT(subscription_id) AS subscriptions_count FROM Subscriptions WHERE start_date BETWEEN ADD_QUARTERS(SYSDATE, -4) AND SYSDATE GROUP BY subscription_plan;"
"Список транспортных маршрутов с минимальной стоимостью проезда","SELECT route_id, MIN(cost_per_km) AS min_cost FROM TransportRoutes GROUP BY route_id;"
"Распределение клиентов по сегментам рынка в зависимости от возраста и уровня доходов","SELECT segment, COUNT(client_id) AS clients_in_segment FROM MarketSegments GROUP BY segment;"
"Руководители департаментов, возглавляющие более одного департамента","WITH DepartmentLeaders AS (SELECT leader_id, COUNT(*) AS dept_count FROM Departments GROUP BY leader_id) SELECT leaders.name FROM Leaders JOIN DepartmentLeaders ON leaders.id=DepartmentLeaders.leader_id WHERE dept_count > 1;"
"Процент успеха по выполнению задач каждого сотрудника с разделением по проектам","SELECT project_id, employee_id, SUM(CASE WHEN task_status='completed' THEN 1 ELSE 0 END)/COUNT(*)::float*100 AS success_percentage FROM Tasks GROUP BY project_id, employee_id;"
"Изменение прибыли компании за последние пять лет, ранжированное по величине прироста","SELECT fiscal_year, revenue_change FROM (SELECT fiscal_year, LAG(revenue) OVER (ORDER BY fiscal_year) AS prev_revenue, revenue-revenue AS revenue_change FROM AnnualRevenues) WHERE fiscal_year>=CURRENT_YEAR-5 ORDER BY revenue_change DESC;"
"Зарплаты сотрудников, превышающие медианную величину зарплаты по отрасли","SELECT salary FROM Employees WHERE salary>(SELECT PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY salary) FROM IndustrySalarySurvey);"
"Показатели эффективности рекламной кампании с учётом стоимости привлечения клиента","SELECT campaign_id, conversion_rate/(cost_per_click*clicks) AS efficiency_metric FROM AdCampaigns;"
"Составление отчета по обороту региональных подразделений за последние десять лет","SELECT region, SUM(yearly_turnover) AS total_turnover FROM RegionalDivisions WHERE fiscal_year BETWEEN CURRENT_YEAR-10 AND CURRENT_YEAR GROUP BY region;"
"Доля рынка каждой торговой марки относительно общих объемов производства","SELECT brand, market_share/SUM(market_share) OVER () AS share_percentage FROM BrandMarketShares;"
"Прогресс выполнения проектов по этапам с подсчетом оставшихся этапов","SELECT project_id, completed_stages, stages_to_complete-stages_completed AS remaining_stages FROM ProjectStages;"
"Топ-10 продавцов с наивысшей суммой заключенных сделок за последнее полугодие","SELECT salesperson_id, SUM(deal_amount) AS total_deals FROM SalesDeals WHERE deal_date>=SYSDATE-180 GROUP BY salesperson_id ORDER BY total_deals DESC LIMIT 10;"
"Средняя продолжительность жизни клиентов службы поддержки с момента регистрации","SELECT AVG(DATEDIFF(current_timestamp, registration_date)) AS average_lifetime FROM CustomerSupport;"
"Использование ресурсов серверов кластера с сортировкой по загруженности CPU","SELECT server_id, cpu_usage_percent FROM ServerUsage WHERE cluster_id=1 ORDER BY cpu_usage_percent DESC;"
"Уровень удовлетворённости клиентов сервисом доставки, учитывая задержанные поставки","SELECT delivery_service, satisfaction_level/(satisfaction_level+delayed_deliveries) AS service_quality FROM DeliveryServiceRatings;"
"Популярность моделей смартфонов по объёму продаж за последний год с долей рынка","SELECT model, SUM(units_sold) AS total_units, SUM(units_sold)/(SELECT SUM(units_sold) FROM SmartphoneSales WHERE sale_year=CURRENT_YEAR-1)*100 AS market_share FROM SmartphoneSales WHERE sale_year=CURRENT_YEAR-1 GROUP BY model;"
"Анализ отклонений от плана производства оборудования за последние три года","SELECT production_year, planned_production-quantity_produced AS deviation FROM EquipmentProduction WHERE production_year>=CURRENT_YEAR-3;"
"Объём незавершённых договоров с клиентами по состоянию на конец предыдущего квартала","SELECT client_id, SUM(contract_value) AS unfinished_contracts FROM Contracts WHERE completion_date IS NULL AND contract_start_date<=LAST_DAY(LAST_QUARTER);"
"Детализация заработной платы сотрудников с премиальными выплатами по результатам работы","SELECT employee_id, base_salary+(bonus*performance_factor) AS adjusted_salary FROM EmployeeCompensation;"
"Актуальность запасов товаров на центральном складе с указанием дефицита или избытка","SELECT product_id, stock_quantity-demand_forecast AS availability_status FROM CentralWarehouseStock;"
"Темпы роста оборота регионального представительства за последние пять лет","SELECT region, growth_rate FROM RegionalRepresentatives WHERE fiscal_year>=CURRENT_YEAR-5 ORDER BY growth_rate DESC;"
"Тенденции изменения спроса на программное обеспечение по отраслям промышленности","SELECT industry_sector, demand_trend FROM SoftwareDemandTrends WHERE trend_direction='upward';"
"Расчёт показателя операционной маржи по подразделениям с коррекцией на инфляцию","SELECT department, operating_margin*(1+CPI_inflation_rate) AS inflation_adjusted_margin FROM DepartmentFinancials;"
"Активность пользователей портала с фильтрацией по активности более двух раз в неделю","SELECT user_id, login_frequency FROM UserActivity WHERE login_frequency>=2;"
"Доходность акций компании по сравнению с индексом фондового рынка","SELECT ticker_symbol, (stock_price-index_value)/index_value*100 AS relative_performance FROM StockPerformance;"
"Частота обращений клиентов технической поддержки по сервисам и регионам обслуживания","SELECT service_type, region, COUNT(*) AS call_count FROM TechSupportCalls GROUP BY service_type, region;"
"Оценка рисков невыполнения обязательств поставщиками по контракту","SELECT supplier_id, risk_probability FROM SupplierRiskAssessment WHERE risk_category='high';"
"Длительность эксплуатации оборудования в производственных цехах","SELECT equipment_id, DATEDIFF(current_timestamp, installation_date) AS operational_duration FROM ProductionEquipment;"
"Индексация бюджета государственных учреждений с поправкой на уровень инфляции","SELECT institution_id, allocated_budget*(1+inflation_rate) AS indexed_budget FROM InstitutionBudgets;"
"Анализ динамики курсов валют относительно базового периода","SELECT currency_pair, exchange_rate/baseline_exchange_rate AS rate_movement FROM CurrencyExchangeRates;"
"Показатели эффективности онлайн-курсов по уровню завершения студентами","SELECT course_id, completion_rate/(completion_rate+dropout_rate)*100 AS effectiveness_metric FROM OnlineCourses;"
