Input,Expected SQL,Predicted SQL
Шариковую ручку металлическую,SELECT * FROM КанцелярскиеТовары WHERE товар = 'шариковая ручка' AND материал = 'металл';,SELECT * FROM Инструменты WHERE инструмент = 'шариковая ручка' AND материал = 'металл';
Вывести количество_ставок всех сотрудников.,SELECT количество_ставок FROM Сотрудники;,SELECT количество_ставок FROM Сотрудники;
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудник"
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Показать публикации за 2023 год.,SELECT * FROM Научные_работы WHERE год = 2023;,SELECT * FROM Научные_работы WHERE год = 2023;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
"План распределения ресурсов компании и реальные ресурсы, используемые департаментами","SELECT res.resource_allocation_id, dep.department_resources FROM ResourceAllocations res JOIN DepartmentResources dep ON res.allocation_id=dep.allocation_id;","SELECT employee_id, rec.rection_id, rec.rection_id, rection_id, rection_id, rection_id, rection_id, rection_id, re"
Показать публикации за 2019 год.,SELECT * FROM Научные_работы WHERE год = 2019;,SELECT * FROM Научные_работы WHERE год = 2019;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать публикации за 2020 год.,SELECT * FROM Научные_работы WHERE год = 2020;,SELECT * FROM Научные_работы WHERE год = 2020;
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать публикации за 2012 год.,SELECT * FROM Научные_работы WHERE год = 2012;,SELECT * FROM Научные_работы WHERE год = 2012;
"Показать значение поля ""название_журнала"" для всех научных работ.",SELECT название_журнала FROM Научные_работы;,SELECT название_журнала FROM Научные_работы;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Список сотрудников из Институт химии.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Продолжительность контракта сотрудников и дни до окончания трудового договора,"SELECT emp.employee_id, emp.hire_date, (CONTRACT_END_DATE - CURRENT_DATE) AS days_remaining FROM Employees emp;",SELECT e.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать публикации за 2011 год.,SELECT * FROM Научные_работы WHERE год = 2011;,SELECT * FROM Научные_работы WHERE год = 2011;
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
"Список сотрудников и департаментов, в которых они работали ранее","SELECT e.employee_id, h.previous_department FROM Employees e JOIN History h ON e.employee_id=h.employee_id;","SELECT Сотрудники.ФИО, департаменты.Название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE профиль = 'Институт"
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
Показатели энергоэффективности зданий и соответствующую сертификацию экологичности,"SELECT building_id, certification_level FROM BuildingEnergyEfficiency bee JOIN CertificationLevels cl ON bee.building_id=cl.building_id;","SELECT employee_id, ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec."
Вывести категория_персонала всех сотрудников.,SELECT категория_персонала FROM Сотрудники;,SELECT категория_персонала FROM Сотрудники;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
Показать публикации за 2013 год.,SELECT * FROM Научные_работы WHERE год = 2013;,SELECT * FROM Научные_работы WHERE год = 2013;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудник"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Информация о сотрудниках, работающих над проектами с бюджетом более миллиона долларов","SELECT employees.name, projects.title FROM Employees JOIN Projects ON employees.project_id=projects.id WHERE budget>1000000;",SELECT * FROM Сотрудники WHERE проект = '%Иванов%';
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Кабель HDMI пятиметровый,SELECT * FROM Электротехника WHERE кабель = 'HDMI' AND длина = 5 метров;,SELECT * FROM Инструменты WHERE инструмент = 'Кабель' AND ширина = 'Пассажир';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Презервативы гипоаллергенные,SELECT * FROM Контрацептивы WHERE контрацептив = 'презерватив' AND гипоаллергенность = true;,SELECT * FROM Пациенты WHERE аллергия = 'пациент';
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать значение поля ""автор"" для всех научных работ.",SELECT автор FROM Научные_работы;,SELECT автор FROM Научные_работы;
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Преподаватели кафедры математики,SELECT * FROM Преподаватели WHERE кафедра = 'математика';,SELECT * FROM Преподаватели WHERE оргструктура IN ('Кафедра математики';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Список автомобилей красного цвета,SELECT * FROM Автомобили WHERE цвет = 'Красный';,SELECT * FROM Автомобили WHERE цвет = 'красный';
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
"Учебные дисциплины, предлагаемые вузами с высокими показателями трудоустройства выпускников","SELECT discipline_id, employability_rating FROM UniversityDisciplines ud JOIN EmployabilityRatings er ON ud.discipline_id=er.discipline_id WHERE university_id IN (SELECT university_id FROM Universities WHERE ranking > 100);",SELECT e.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Компьютеры с оперативной памятью более 8 ГБ,SELECT * FROM Компьютеры WHERE оперативная_память > 8;,SELECT * FROM Компьютеры WHERE память > 8;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников старше 53 лет.,SELECT * FROM Сотрудники WHERE возраст > 53;,SELECT * FROM Сотрудники WHERE возраст > 53;
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;","SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать сотрудников старше 40 лет.,SELECT * FROM Сотрудники WHERE возраст > 40;,SELECT * FROM Сотрудники WHERE возраст > 40;
Показать публикации за 2006 год.,SELECT * FROM Научные_работы WHERE год = 2006;,SELECT * FROM Научные_работы WHERE год = 2006;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
Вывести вид_занятости всех сотрудников.,SELECT вид_занятости FROM Сотрудники;,SELECT вид_занятости FROM Сотрудники;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать значение поля ""автор"" для всех научных работ.",SELECT автор FROM Научные_работы;,SELECT автор FROM Научные_работы;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;,SELECT название FROM Научные_работы;
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
"Показать научные работы, опубликованные в журнале Физика и техника.",SELECT * FROM Научные_работы WHERE название_журнала = 'Физика и техника';,SELECT * FROM Научные_работы WHERE название_журнала = 'Физика и техника';
Показать публикации за 2006 год.,SELECT * FROM Научные_работы WHERE год = 2006;,SELECT * FROM Научные_работы WHERE год = 2006;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать публикации за 2016 год.,SELECT * FROM Научные_работы WHERE год = 2016;,SELECT * FROM Научные_работы WHERE год = 2016;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Чехлы для смартфонов из силикона,SELECT * FROM Аксессуары WHERE аксессуар = 'чехол' AND материал = 'силикон' AND устройство = 'смартфон';,SELECT * FROM Мобильный WHERE аксессуар = 'чехлы' AND предназначение = 'силикона';
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;,SELECT год FROM Научные_работы;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;,SELECT название FROM Научные_работы;
Шприц инсулиновый одноразовый,SELECT * FROM МедицинскиеИзделия WHERE медицинское_устройство = 'шприц' AND назначение = 'инсулиновый' AND использование = 'одноразовый';,SELECT * FROM Инструменты WHERE инструмент = 'шприц' AND категория = 'одноразовый';
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Высотные здания и требуемые строительные нормы для высотных сооружений,"SELECT skyscraper_id, required_building_standard FROM Skyscrapers sk JOIN ConstructionStandards cs ON sk.building_id=cs.building_id WHERE height > 150;","SELECT employee_id, ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec."
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Показать публикации за 2014 год.,SELECT * FROM Научные_работы WHERE год = 2014;,SELECT * FROM Научные_работы WHERE год = 2014;
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать сотрудников старше 28 лет.,SELECT * FROM Сотрудники WHERE возраст > 28;,SELECT * FROM Сотрудники WHERE возраст > 28;
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
